tileset_id,status,tiles,lower_base_tile_id,lower_description,upper_base_tile_id,upper_description,transition_size,style,created_at
fbaacb43-069f-44ba-bec5-16dfd21a80a1,processing,,,"cold taiga floor with pine needles, frost, and sparse lichen",,frozen grey-brown permafrost with sparse lichen and frost,,,2026-06-05T20:15:21.913176+00:00
ba4ee3b8-2808-4fa6-9cc9-303c61916558,processing,,,"lush tropical forest floor with broad leaves, vines, and rich dark soil",,"cold taiga floor with pine needles, frost, and sparse lichen",,,2026-06-05T20:15:21.464390+00:00
459835a3-d3ab-41f0-a28c-6f192c7a32e7,processing,,,wet brown swamp mud with murky water patches and peat,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T20:15:21.050089+00:00
098e1bbf-28db-4062-8f9a-1a097cf5d9d5,processing,,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,grey mountain rock with snow patches and exposed stone,,,2026-06-05T20:13:07.241850+00:00
4bc5c9d2-f607-4aac-8f5c-30a453418753,processing,,,dark navy ocean water with deep subtle wave patterns,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T20:11:52.330855+00:00
0f750d1b-f896-436a-bc1d-88685fc460e6,processing,,,rocky hillside with scattered stones and sparse tough grass,,golden sandy beach with fine grain texture,,,2026-06-05T20:11:11.044171+00:00
5fdf5696-27d6-4d7c-b463-74479c67edd4,processing,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T20:00:34.329750+00:00
6a7b2d0b-9a18-411e-9023-d7b2cc67c44b,processing,,,white snow and ice with subtle blue shadows,,arid desert sand with subtle wind ripples,,,2026-06-05T20:00:33.898661+00:00
c3d8d250-4781-4d32-8c22-8fd3a0942c33,processing,,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:33.298841+00:00
1adee2bb-9bba-4873-9bed-01d9e4022ab0,processing,,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:32.831766+00:00
9128f482-e1c0-4e4b-9df7-192a21e3a0d5,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T20:00:32.376683+00:00
4e55ca7a-d9cf-4b51-bc68-bfc74d711e77,processing,,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:31.940119+00:00
0d411c92-a473-4a03-8e05-116ca61b6b43,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T20:00:31.491568+00:00
cf490d9f-d29d-4d44-a125-da54b57d09aa,processing,,,white snow and ice with subtle blue shadows,,"very dark dense forest floor with thick leaf litter, mushrooms, and deep moss",,,2026-06-05T20:00:30.698930+00:00
517a0ea3-3b14-436d-9e72-f49593f37867,processing,,,dark navy ocean water with deep subtle wave patterns,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:24.831306+00:00
6aa54d5a-85b1-4313-96c4-7c5135c0b8fd,processing,,,dark navy ocean water with deep subtle wave patterns,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:24.393297+00:00
f2058fd6-9def-42f0-a220-4da7e904bb94,processing,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T20:00:23.938311+00:00
e0172d5a-265e-4072-8a77-bf033952f429,processing,,,dark navy ocean water with deep subtle wave patterns,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:23.448695+00:00
a393a510-4720-4fb5-b67d-d79dae32425b,processing,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T20:00:22.979802+00:00
1333315e-c446-46b7-812c-0cdd647fa4cb,error_423,,,white snow and ice with subtle blue shadows,,dark navy ocean water with deep subtle wave patterns,,,2026-06-05T20:00:22.532211+00:00
0f4cddba-4e16-4a16-916c-a94277fa686a,processing,,,golden sandy beach with fine grain texture,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:22.070537+00:00
22e61877-d2db-4a1c-b039-27039159b5f5,processing,,,golden sandy beach with fine grain texture,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:21.630465+00:00
35876ee1-54f5-424d-9e91-2730fe48fcb8,processing,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T20:00:21.182574+00:00
243a99af-af2a-4424-ae35-80d187445b6d,processing,,,golden sandy beach with fine grain texture,,white snow and ice with subtle blue shadows,,,2026-06-05T20:00:20.731039+00:00
967a140b-9f38-4ece-9363-6ca5c2b594af,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T20:00:20.251597+00:00
24f524ab-e5e5-474f-a211-0b65d64c44ff,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T20:00:19.820572+00:00
4b0176f4-0fa3-45cb-b188-d57a3265b2e4,error_423,,,lush green grass meadow with individual blades,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T18:55:02.128459+00:00
a6b0bf81-4714-44f0-86dd-eb965f749fc2,error_423,,,lush green grass meadow with individual blades,,"dark forest floor with fallen leaves, moss, and exposed roots",,,2026-06-05T18:52:47.328286+00:00
c14bb150-e560-4700-b00a-cf93780d1741,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T18:42:02.630765+00:00
eea1d5eb-af65-4c97-a8cb-c5a12d6df991,error_423,,,white snow and ice with subtle blue shadows,,deep blue ocean water with gentle wave ripples,,,2026-06-05T15:51:31.781243+00:00
d02669cf-8c46-49f0-bba4-0f052df6d423,error_423,,,white snow and ice with subtle blue shadows,,glowing purple-pink enchanted ground with crystal fragments,,,2026-06-05T15:51:25.369905+00:00
b4e6e44b-b6d1-45ff-ad60-9b8be3e4edc5,error_423,,,white snow and ice with subtle blue shadows,,golden sandy beach with fine grain texture,,,2026-06-05T15:51:24.258408+00:00
bc965cd4-cf8b-4925-8aa8-fb7b5ac7f29e,error_423,,,white snow and ice with subtle blue shadows,,grey mountain rock with snow patches and exposed stone,,,2026-06-05T15:39:08.112273+00:00
08c66c0f-41e0-4ef3-9433-f040fe49f3e6,error_423,,,white snow and ice with subtle blue shadows,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T15:39:05.721604+00:00
b3bbaf7a-54c1-4024-a8bf-66b98cd65877,error_423,,,white snow and ice with subtle blue shadows,,calm still blue-green water with subtle reflections,,,2026-06-05T15:31:49.427848+00:00
1becfa0b-3562-4edc-a695-f58af85ba635,error_423,,,white snow and ice with subtle blue shadows,,rocky hillside with scattered stones and sparse tough grass,,,2026-06-05T15:31:46.500524+00:00
